Year,Rank,Male,N(Males),Female,N(Female)
1965,13,Kenneth,612,Sharon,523
1965,14,Kevin,579,Deborah,469
1965,15,Christopher,569,Elizabeth,450
1965,16,Joseph,515,Linda,412
1965,17,Steven,471,Sandra,404
1965,18,Anthony,458,Robin,396
1965,19,Brian,436,Jennifer,378
1965,20,Gregory,435,Barbara,353
1965,21,Donald,434,Brenda,350
1965,22,Paul,417,Laura,324
1965,23,Ronald,406,Melissa,324
1965,24,Gary,361,Tina,302
1965,25,Rodney,360,Rebecca,291
1965,26,Daniel,342,Cheryl,289
1965,27,Stephen,342,Sherry,283
1965,28,George,338,Rhonda,278
1965,29,Edward,323,Tracy,263
1965,30,Eric,305,Michelle,244
1965,31,Scott,297,Stephanie,236
1965,32,Keith,273,Amy,233
1965,33,Douglas,253,Kathy,233
1965,34,Larry,251,Wanda,228
1965,35,Jerry,227,Carolyn,226
1965,36,Tony,212,Debra,225
1965,37,Ricky,209,Sheila,224
1965,38,Roger,202,Jacqueline,217
1965,39,Terry,195,Nancy,217
1965,40,Patrick,189,Janet,212
1965,41,Barry,183,Dawn,210
1965,42,Jeffery,175,Theresa,210
1965,43,Darryl,172,Wendy,210
1965,44,Dennis,172,Denise,203
1965,45,Randy,167,Kelly,198
1965,46,Carl,166,Carol,193
1965,47,Andrew,162,Lori,187
1965,48,Wayne,162,Valerie,185
1965,49,Matthew,160,Julie,183
1965,50,Raymond,157,Christine,182
1965,51,Walter,151,Margaret,176
1965,52,Frank,149,Kim,172
1965,53,Curtis,146,Catherine,162
1965,54,Troy,146,Ann,154
1965,55,Danny,135,Paula,153
1965,56,Samuel,135,Connie,149
1965,57,Bobby,134,Virginia,147
1965,58,Roy,134,Diane,145
1965,59,Glenn,132,Andrea,139
1965,60,Ronnie,131,Penny,139
1965,61,Todd,131,Debbie,138
1965,62,Billy,130,Kathleen,137
1965,63,Bruce,129,Anne,135
1965,64,Marvin,124,Katherine,135
1965,65,Phillip,124,Joyce,134
1965,66,Darrell,121,Sarah,133
1965,67,Vincent,117,Leslie,126
1965,68,Randall,116,Betty,125
1965,69,Calvin,113,Bonnie,124
1965,70,Jonathan,109,Michele,122
1965,71,Lawrence,109,Tracey,122
1965,72,Craig,108,Anita,121
1965,73,Willie,108,Martha,121
1965,74,Allen,107,Regina,121
1965,75,Dwayne,107,Cindy,120
1965,76,Henry,107,Dana,118
1965,77,Russell,106,Darlene,117
1965,78,Alan,103,Terri,115
1965,79,Steve,103,Janice,113
1965,80,Bryan,101,Judy,113
1965,81,Reginald,95,Shirley,112
1965,82,Howard,93,Crystal,111
1965,83,Jimmy,91,Carla,110
1965,84,Peter,91,Beverly,109
1965,85,Clarence,90,Monica,107
1965,86,Gerald,90,Diana,106
1965,87,Philip,90,Annette,104
1965,88,Darren,89,Melinda,104
1965,89,Melvin,88,Vickie,103
1965,90,Chris,87,Kathryn,99
1965,91,Ernest,87,Renee,97
1965,92,Benjamin,83,Maria,96
1965,93,Johnny,83,Cathy,92
1965,94,Tracy,83,Sherri,92
1965,95,Harold,82,Suzanne,92
1965,96,Earl,81,Laurie,91
1965,97,Mike,79,Dorothy,89
1965,98,Ralph,79,Alice,88
1965,99,Harry,76,Peggy,88
1965,100,Albert,75,Shelia,87
1960,1,James,"1,888",Mary,"1,097"
1960,2,David,"1,739",Donna,981
1960,3,Michael,"1,694",Deborah,796
1960,4,Robert,"1,535",Patricia,779
1960,5,William,"1,505",Susan,768
1960,6,John,"1,475",Linda,750
1960,7,Mark,950,Cynthia,742
1960,8,Charles,848,Karen,715
1960,9,Richard,842,Brenda,705
1960,10,Thomas,804,Sandra,656
1960,11,Timothy,749,Teresa,645
1960,12,Kenneth,702,Sharon,641
1960,13,Jeffrey,571,Pamela,612
1960,14,Steven,554,Lisa,605
1960,15,Donald,519,Barbara,565
1960,16,Joseph,498,Debra,547
1960,17,Ronald,470,Elizabeth,496
1960,18,Gary,469,Kathy,473
1960,19,Larry,438,Robin,454
1960,20,Anthony,410,Tammy,413
1960,21,Gregory,402,Cheryl,407
1960,22,George,392,Debbie,393
1960,23,Paul,380,Nancy,367
1960,24,Edward,374,Wanda,344
1960,25,Ricky,373,Kimberly,341
1960,26,Kevin,354,Carolyn,339
1960,27,Stephen,336,Janet,333
1960,28,Jerry,329,Rebecca,315
1960,29,Douglas,310,Carol,299
1960,30,Dennis,309,Sherry,277
1960,31,Daniel,308,Angela,276
1960,32,Terry,299,Joyce,274
1960,33,Christopher,274,Margaret,256
1960,34,Keith,271,Cindy,249
1960,35,Danny,258,Diane,244
1960,36,Brian,255,Laura,244
1960,37,Tony,243,Theresa,243
1960,38,Barry,239,Rhonda,237
1960,39,Roger,235,Connie,236
1960,40,Randy,221,Betty,232
1960,41,Raymond,220,Denise,232
1960,42,Jeffery,208,Tina,225
1960,43,Wayne,204,Cathy,223
1960,44,Steve,202,Judy,218
1960,45,Bruce,196,Janice,210
1960,46,Frank,188,Beverly,207
1960,47,Carl,186,Bonnie,201
1960,48,Ronnie,184,Martha,201
1960,49,Bobby,182,Sheila,200
1960,50,Scott,182,Catherine,199
1960,51,Walter,171,Shirley,195
1960,52,Samuel,168,Annette,189
1960,53,Johnny,156,Gloria,180
1960,54,Calvin,154,Kim,180
1960,55,Eric,153,Darlene,179
1960,56,Roy,153,Katherine,179
1960,57,Curtis,150,Terri,176
1960,58,Phillip,149,Valerie,173
1960,59,Marvin,141,Anita,170
1960,60,Rodney,141,Terry,169
1960,61,Russell,141,Ann,167
1960,62,Andrew,139,Jennifer,167
1960,63,Billy,138,Virginia,159
1960,64,Lawrence,138,Vickie,147
1960,65,Dale,136,Julie,143
1960,66,Mike,136,Phyllis,143
1960,67,Alan,135,Peggy,142
1960,68,Clarence,134,Dorothy,140
1960,69,Harold,132,Frances,140
1960,70,Glenn,125,Lori,139
1960,71,Randall,125,Rita,134
1960,72,Jimmy,124,Anne,133
1960,73,Melvin,122,Michelle,133
1960,74,Howard,119,Sarah,132
1960,75,Patrick,119,Jacqueline,129
1960,76,Darrell,116,Kathleen,128
1960,77,Craig,115,Diana,122
1960,78,Henry,113,Ellen,122
1960,79,Ralph,113,Vanessa,121
1960,80,Willie,111,Ruth,119
1960,81,Dwayne,110,Regina,118
1960,82,Allen,109,Stephanie,117
1960,83,Arthur,107,Kathryn,116
1960,84,Joe,105,Alice,113
1960,85,Jeff,104,Helen,113
1960,86,Harry,102,Vicki,110
1960,87,Ernest,101,Wendy,108
1960,88,Peter,101,Jane,105
1960,89,Stanley,101,Julia,105
1960,90,Alvin,100,Joan,104
1960,91,Gerald,99,Paula,104
1960,92,Bryan,98,Shelia,103
1960,93,Jack,98,Suzanne,103
1960,94,Micheal,98,Kelly,102
1960,95,Earl,95,Christine,101
1960,96,Reginald,94,Dawn,100
1960,97,Eddie,91,Gwendolyn,100
1960,98,Ray,89,Judith,99
1960,99,Albert,86,Amy,98
1960,100,Carlton,86,Rose,98
